,Year,Governor,Electoral College,Electoral College Votes Party,Governor Party
0,1777,Thomas Johnson,,,I
1,1778,Thomas Johnson,,,I
2,1779,Thomas Johnson,,,I
3,1780,Thomas Sim Lee,,,I
4,1781,Thomas Sim Lee,,,I
5,1782,Thomas Sim Lee,,,I
6,1783,William Paca,,,I
7,1784,William Paca,,,I
8,1785,William Paca,,,I
9,1786,William Smallwood,,,I
10,1787,William Smallwood,,,I
11,1788,William Smallwood,,,I
12,1789,John Eager Howard,Y,I,F
13,1790,John Eager Howard,Y,I,F
14,1791,John Eager Howard,Y,I,F
15,1792,George Plater[a],Y,I,F
16,1793,Thomas Sim Lee,Y,I,F
17,1794,Thomas Sim Lee,Y,I,F
18,1795,John Hoskins Stone,Y,I,F
19,1796,John Hoskins Stone,Y,F,F
20,1797,John Hoskins Stone,Y,F,F
21,1798,John Henry,Y,F,DR
22,1799,Benjamin Ogle,Y,F,F
23,1800,Benjamin Ogle,N,F,F
24,1801,Benjamin Ogle,N,F,F
25,1802,John Francis Mercer,N,F,DR
26,1803,John Francis Mercer,N,F,DR
27,1804,Robert Bowie,Y,DR,DR
28,1805,Robert Bowie,Y,DR,DR
29,1806,Robert Bowie,Y,DR,DR
30,1807,Robert Wright,Y,DR,DR
31,1808,Robert Wright,Y,DR,DR
32,1809,Robert Wright,Y,DR,DR
33,1810,Edward Lloyd,Y,DR,DR
34,1811,Edward Lloyd,Y,DR,DR
35,1812,Robert Bowie,Y,DR,DR
36,1813,Levin Winder,Y,DR,F
37,1814,Levin Winder,Y,DR,F
38,1815,Levin Winder,Y,DR,F
39,1816,Charles Carnan Ridgely,Y,DR,F
40,1817,Charles Carnan Ridgely,Y,DR,F
41,1818,Charles Carnan Ridgely,Y,DR,F
42,1819,Charles Goldsborough,Y,DR,F
43,1820,Samuel Sprigg,Y,DR,DR
44,1821,Samuel Sprigg,Y,DR,DR
45,1822,Samuel Sprigg,Y,DR,DR
46,1823,Samuel Stevens Jr.,Y,DR,DR
47,1824,Samuel Stevens Jr.,N,DR,DR
48,1825,Samuel Stevens Jr.,N,DR,DR
49,1826,Joseph Kent,N,DR,DR
50,1827,Joseph Kent,N,DR,DR
51,1828,Joseph Kent,N,NR,DR
52,1829,Daniel Martin,N,NR,NR
53,1830,Thomas King Carroll,N,NR,J
54,1831,Daniel Martin,N,NR,NR
55,1832,George Howard,N,NR,NR
56,1833,James Thomas,N,NR,W
57,1834,James Thomas,N,NR,W
58,1835,James Thomas,N,NR,W
59,1836,Thomas Veazey,N,W,W
60,1837,Thomas Veazey,N,W,W
61,1838,Thomas Veazey,N,W,W
62,1839,William Grason,N,W,D
63,1840,William Grason,Y,W,D
64,1841,William Grason,Y,W,D
65,1842,Francis Thomas,Y,W,D
66,1843,Francis Thomas,Y,W,D
67,1844,Francis Thomas,N,W,D
68,1845,Thomas Pratt,N,W,W
69,1846,Thomas Pratt,N,W,W
70,1847,Thomas Pratt,N,W,W
71,1848,Philip Francis Thomas,Y,W,D
72,1849,Philip Francis Thomas,Y,W,D
73,1850,Philip Francis Thomas,Y,W,D
74,1851,Enoch Louis Lowe,Y,W,D
75,1852,Enoch Louis Lowe,Y,D,D
76,1853,Enoch Louis Lowe,Y,D,D
77,1854,Thomas Watkins Ligon,Y,D,D
78,1855,Thomas Watkins Ligon,Y,D,D
79,1856,Thomas Watkins Ligon,N,KN,D
80,1857,Thomas Watkins Ligon,N,KN,D
81,1858,Thomas Holliday Hicks,N,KN,KN
82,1859,Thomas Holliday Hicks,N,KN,KN
83,1860,Thomas Holliday Hicks,N,SD,KN
84,1861,Thomas Holliday Hicks,N,SD,KN
85,1862,Augustus Bradford,N,SD,NU
86,1863,Augustus Bradford,N,SD,NU
87,1864,Augustus Bradford,Y,NU,NU
88,1865,Augustus Bradford,Y,NU,NU
89,1866,Thomas Swann,Y,NU,D
90,1867,Thomas Swann,Y,NU,D
91,1868,Thomas Swann,N,D,D
92,1869,Oden Bowie,N,D,D
93,1870,Oden Bowie,N,D,D
94,1871,Oden Bowie,N,D,D
95,1872,William Pinkney Whyte,N,D,D
96,1873,William Pinkney Whyte,N,D,D
97,1874,James Black Groome,N,D,D
98,1875,James Black Groome,N,D,D
99,1876,John Lee Carroll,N,D,D
100,1877,John Lee Carroll,N,D,D
101,1878,John Lee Carroll,N,D,D
102,1879,John Lee Carroll,N,D,D
103,1880,William Thomas Hamilton,N,D,D
104,1881,William Thomas Hamilton,N,D,D
105,1882,William Thomas Hamilton,N,D,D
106,1883,William Thomas Hamilton,N,D,D
107,1884,Robert Milligan McLane[g],Y,D,D
108,1885,Henry Lloyd[h],Y,D,D
109,1886,Henry Lloyd[h],Y,D,D
110,1887,Henry Lloyd[h],Y,D,D
111,1888,Elihu Emory Jackson,N,D,D
112,1889,Elihu Emory Jackson,N,D,D
113,1890,Elihu Emory Jackson,N,D,D
114,1891,Elihu Emory Jackson,N,D,D
115,1892,Frank Brown,Y,D,D
116,1893,Frank Brown,Y,D,D
117,1894,Frank Brown,Y,D,D
118,1895,Frank Brown,Y,D,D
119,1896,Lloyd Lowndes Jr.,Y,R,R
120,1897,Lloyd Lowndes Jr.,Y,R,R
121,1898,Lloyd Lowndes Jr.,Y,R,R
122,1899,Lloyd Lowndes Jr.,Y,R,R
123,1900,John Walter Smith,Y,R,D
124,1901,John Walter Smith,Y,R,D
125,1902,John Walter Smith,Y,R,D
126,1903,John Walter Smith,Y,R,D
127,1904,Edwin Warfield,Y,R,D
128,1905,Edwin Warfield,Y,R,D
129,1906,Edwin Warfield,Y,R,D
130,1907,Edwin Warfield,Y,R,D
131,1908,Austin Lane Crothers,N,D,D
132,1909,Austin Lane Crothers,N,D,D
133,1910,Austin Lane Crothers,N,D,D
134,1911,Austin Lane Crothers,N,D,D
135,1912,Phillips Lee Goldsborough,Y,D,R
136,1913,Phillips Lee Goldsborough,Y,D,R
137,1914,Phillips Lee Goldsborough,Y,D,R
138,1915,Phillips Lee Goldsborough,Y,D,R
139,1916,Emerson Harrington,Y,D,D
140,1917,Emerson Harrington,Y,D,D
141,1918,Emerson Harrington,Y,D,D
142,1919,Emerson Harrington,Y,D,D
143,1920,Albert Ritchie,Y,R,D
144,1921,Albert Ritchie,Y,R,D
145,1922,Albert Ritchie,Y,R,D
146,1923,Albert Ritchie,Y,R,D
147,1924,Albert Ritchie,Y,R,D
148,1925,Albert Ritchie,Y,R,D
149,1926,Albert Ritchie,Y,R,D
150,1927,Albert Ritchie,Y,R,D
151,1928,Albert Ritchie,Y,R,D
152,1929,Albert Ritchie,Y,R,D
153,1930,Albert Ritchie,Y,R,D
154,1931,Albert Ritchie,Y,R,D
155,1932,Albert Ritchie,Y,D,D
156,1933,Albert Ritchie,Y,D,D
157,1934,Albert Ritchie,Y,D,D
158,1935,Harry Nice,Y,D,R
159,1936,Harry Nice,Y,D,R
160,1937,Harry Nice,Y,D,R
161,1938,Harry Nice,Y,D,R
162,1939,Herbert O'Conor,Y,D,D
163,1940,Herbert O'Conor,Y,D,D
164,1941,Herbert O'Conor,Y,D,D
165,1942,Herbert O'Conor,Y,D,D
166,1943,Herbert O'Conor,Y,D,D
167,1944,Herbert O'Conor,Y,D,D
168,1945,Herbert O'Conor,Y,D,D
169,1946,Herbert O'Conor,Y,D,D
170,1947,William Preston Lane Jr.,Y,D,D
171,1948,William Preston Lane Jr.,N,R,D
172,1949,William Preston Lane Jr.,N,R,D
173,1950,William Preston Lane Jr.,N,R,D
174,1951,Theodore McKeldin,N,R,R
175,1952,Theodore McKeldin,Y,R,R
176,1953,Theodore McKeldin,Y,R,R
177,1954,Theodore McKeldin,Y,R,R
178,1955,Theodore McKeldin,Y,R,R
179,1956,Theodore McKeldin,Y,R,R
180,1957,Theodore McKeldin,Y,R,R
181,1958,Theodore McKeldin,Y,R,R
182,1959,J. Millard Tawes,Y,R,D
183,1960,J. Millard Tawes,Y,D,D
184,1961,J. Millard Tawes,Y,D,D
185,1962,J. Millard Tawes,Y,D,D
186,1963,J. Millard Tawes,Y,D,D
187,1964,J. Millard Tawes,Y,D,D
188,1965,J. Millard Tawes,Y,D,D
189,1966,J. Millard Tawes,Y,D,D
190,1967,Spiro Agnew,Y,D,R
191,1968,Spiro Agnew,N,D,R
192,1969,Marvin Mandel,N,D,D
193,1970,Marvin Mandel,N,D,D
194,1971,Marvin Mandel,N,D,D
195,1972,Marvin Mandel,Y,R,D
196,1973,Marvin Mandel,Y,R,D
197,1974,Marvin Mandel,Y,R,D
198,1975,Marvin Mandel,Y,R,D
199,1976,Marvin Mandel,Y,D,D
200,1977,Marvin Mandel,Y,D,D
201,1978,Marvin Mandel,Y,D,D
202,1979,Harry Hughes,Y,D,D
203,1980,Harry Hughes,N,D,D
204,1981,Harry Hughes,N,D,D
205,1982,Harry Hughes,N,D,D
206,1983,Harry Hughes,N,D,D
207,1984,Harry Hughes,Y,R,D
208,1985,Harry Hughes,Y,R,D
209,1986,Harry Hughes,Y,R,D
210,1987,William Donald Schaefer,Y,R,D
211,1988,William Donald Schaefer,Y,R,D
212,1989,William Donald Schaefer,Y,R,D
213,1990,William Donald Schaefer,Y,R,D
214,1991,William Donald Schaefer,Y,R,D
215,1992,William Donald Schaefer,Y,D,D
216,1993,William Donald Schaefer,Y,D,D
217,1994,William Donald Schaefer,Y,D,D
218,1995,Parris Glendening,Y,D,D
219,1996,Parris Glendening,Y,D,D
220,1997,Parris Glendening,Y,D,D
221,1998,Parris Glendening,Y,D,D
222,1999,Parris Glendening,Y,D,D
223,2000,Parris Glendening,N,D,D
224,2001,Parris Glendening,N,D,D
225,2002,Parris Glendening,N,D,D
226,2003,Bob Ehrlich,N,D,R
227,2004,Bob Ehrlich,N,D,R
228,2005,Bob Ehrlich,N,D,R
229,2006,Bob Ehrlich,N,D,R
230,2007,Martin O'Malley,N,D,D
231,2008,Martin O'Malley,Y,D,D
232,2009,Martin O'Malley,Y,D,D
233,2010,Martin O'Malley,Y,D,D
234,2011,Martin O'Malley,Y,D,D
235,2012,Martin O'Malley,Y,D,D
236,2013,Martin O'Malley,Y,D,D
237,2014,Martin O'Malley,Y,D,D
238,2015,Larry Hogan,Y,D,R
239,2016,Larry Hogan,N,D,R
240,2017,Larry Hogan,N,D,R
241,2018,Larry Hogan,N,D,R
242,2019,Larry Hogan,N,D,R
243,2020,Larry Hogan,Y,D,R
244,2021,Larry Hogan,Y,D,R
245,2022,Larry Hogan,Y,D,R
246,2023,Wes Moore,Y,D,D
